Company Name,Review
Apple,nice product
Apple,Great product.
Apple,All amazing and as expected. The colour looks better than in the pics in reality. Came with a sim remover tool and a charging wire.
Apple,Nothing more can be said about the device except that it works and does what is expected of it for the price paid.
Apple,Excellent product to buy during discount offers
Apple,ANC and Transparency mode works well.
Apple,"Best quality ear buds , ANC works like awsm "
Apple,Very nice sound quality and fit…go for it without next thought.
Apple,The nc is out of this world
Apple,Looks dark blue not black. Feels extremely heavy hurt my head.
Apple,"Light weight premium design nice charging speed, no heat problems"
Apple,"Original iPhone charging up to 20W , Good quality"
Apple,Go for it
Apple,First mac and it’s amazing
Apple,Worth buy.
Apple,Nothing can be slimmer than this
Apple,It is very very cheap . It's battery is also good if you buy it for gaming and no lag while gaming
Apple,"Dont think twice, it's the best device you can find in the market in 2024."
Apple,"It fits really well , good product"
Apple,If you can afford it this is the best tab you can have.
Apple,"The performance, battery life is excellent. Apart from that we cannot connect dual headphones. Rest every thing is as expected."
Apple,Battery Drain very fast and item are not replace by seller
Apple,"Thanks to amazon for delivering the product on time, excellent condition, received genuine product"
Apple,"Everything in ipad is perfect,if ur a student looking for best pad to study or for note taking,this is perfect pad for u,there is no flaw in this pad."
Apple,Brilliant quality trusted
Apple,"It's lifted my viewing experience several notches up especially the HDR vision, by the way I'm using Sony 4K television."
Apple,"The speed, functionality, picture quality, connectivity everything works perfectly amazing purchase. This is a future proof product."
Apple,Plan to buy Apple watch (not any other smart watch) if you need accurate metrics.
Apple,I should have ordered the GPS + LTE Product. This is the first Apple Product that I've successfully buy it from Amazon. The battery is also good as of now...
Apple,This product is too worst
Apple,Super quality and Wonderful sound
Apple,One of the best AirPod
Apple,Definetly you are going to fall in love with this product. Everything is top notch.
Apple,"Loved it, it's my first MacBook that I earned from my hardwork 🥺❤️"
Apple,Best powerful machine in all aspects
Apple,"Awesome build quality and very good display, battery and camera. Still new to macOS"
Apple,"Got it at 72k, wonderful product at great price."
Apple,Its really very good and compact device.
Apple,Really love this series 10 Iwatch awsme
Apple,Excellent product with smart features.
Apple,Perfect for my mother. Great watch
Apple,Genuine product from apple 👌👌
Apple,The digital art experience with the pencil is so much better. Will recommend.
Apple,Very precise. The Apple Pencil completes my iPad 🫶🏽
Apple,It’s mainly for convenience. else the lightning cable gives a faster charging experience.
Apple,iPhone 13 not charging fast
Apple,As always Airtag by Apple is awesome.Myst have accessory in the ecosystem.
Apple,Track only iOS device users area
Apple,Track’s Very Well.. Got It For Good Deal Thanks Flipkart🙌
Apple,I really liked the length of the cable and it also fast charging . It is original Apple charger so we can go for it.
Samsung,"I gave a 1-star rating not due to the phone itself, but because of the absence of a charger. It is frustrating that companies do not include chargers even with budget phones. This is a consistent problem I encountered, as even when I purchased the S21 FE previously, a charger was not provided. It is a serious issue that needs attention from the appropriate authorities to address. The lack of a charger with the phone purchase is becoming an increasingly common practice in the industry, impacting the overall user experience. It is concerning that consumers are expected to acquire a crucial accessory separately, adding inconvenience and extra cost to the buying process. The reliance on consumers having pre-existing chargers assumes a level of technological compatibility that is not always guaranteed. For the sake of customer satisfaction and usability, companies should reconsider this trend and include essential accessories with their products for a more streamlined and user-friendly experience."
Samsung,"Good for normal use, Good camera, Negative is 216g weight"
Samsung,"Amazing phone at this price range. Violet doesn't look as bad as it looks in the image.Pros- Price 12k- steal deal for below features, Amoled screen- Not many phones have this in this price. Android 14 OOTB. 4 years OS updates, which is up to Android 18 and 5 years security updates. Just wow.One UI 6.1 and not One UI core. Mind-blowing.Got charger at Rs.300 only, 6000 mAh battery, 4GB Ram variant expandable 4GB more total 8GB. So this is enough.Full HD+"
Samsung,Phone is awesome in all cases like looks camera quality display but lags in performance
Samsung,Best Mobile In Low Price Range Samsung Brand 5g phone...
Samsung,Nice ?? budget phone searching for glass and back cover
Samsung,Good phone
Samsung,"Best phone for this price with amoled display and 6000 mah batter, And 4 years os update, We can use this phone for 5 years without any problem 100% trustly, Best phone"
Samsung,"Awesome Hai yar, Samsung all time favorite, Worth it."
Samsung,"Battery performance is average... camera quality is superb ?? I was not expecting that it'll take great pictures specially at night ???? I just hope it'll work good after 2, 3 months or years"
Samsung,"Overall good but always purchase 6gb ram 128 gb honestly I given, 4Star thanks"
Samsung,"Everything is good like screen, sound quality, cameras, battery backup, etc. except performance, the phone keeps lagging while switching between apps and feels less responsive. Samsung should give a powerful processor so that it can handle all normal tasks easily but this phone cannot handle anything and has lot of lagging issue."
Samsung,"The phone is Amazing, Excellent Battery, Camera is good for the Price, Gaming is Average can't expect too much at this price. Good phone for Content watching, Overall Good for Normal Usage and for Parents. Not Recommended for Gamin.. Hope this helps.."
Samsung,Very nice picture.camara quality and battery ??bat network problem.
